키,몸무게,목둘레,허리둘레,BMI,체지방율,기초대사량,기초대사량평가,머리수직길이,머리두께,머리너비,발너비,발직선길이,나이,성별
1724.0,72.4,365.0,785.0,24.3592573252728,17.1,1667.0,표준,232.0,180.0,152.0,95.0,245.0,16,남
1710.0,57.5,345.0,679.0,19.664170172018743,16.1,1412.0,표준,230.0,184.0,160.0,85.0,240.0,16,남
1700.0,61.7,345.0,730.0,21.349480968858135,20.6,1428.0,표준,226.0,190.0,162.0,80.0,229.0,17,남
1726.0,61.1,343.0,694.0,20.509715092867722,12.5,1525.0,표준,232.0,200.0,147.0,84.0,241.0,17,남
1651.0,47.6,335.0,640.0,17.462756819004763,11.0,1286.0,표준,217.0,182.0,152.0,83.0,231.0,17,남
1711.0,59.3,348.0,705.0,20.256045985665004,13.1,1484.0,표준,244.0,183.0,162.0,80.0,231.0,16,남
1725.0,78.3,370.0,892.0,26.313799621928162,22.1,1688.0,표준,226.0,189.0,159.0,87.0,250.0,17,남
1828.0,72.8,365.0,785.0,21.78607510689541,20.0,1628.0,표준,231.0,193.0,153.0,88.0,252.0,17,남
1726.0,54.0,352.0,697.0,18.126425777657232,14.9,1380.0,표준,243.0,181.0,152.0,81.0,232.0,17,남
1710.0,55.5,342.0,667.0,18.980199035600698,9.7,1453.0,표준,219.0,195.0,161.0,82.0,244.0,17,남
1644.0,57.8,360.0,726.0,21.385736527725975,17.6,1399.0,표준,214.0,185.0,161.0,84.0,221.0,17,남
1750.0,52.5,338.0,650.0,17.142857142857142,11.2,1378.0,표준,235.0,188.0,152.0,76.0,227.0,17,남
1746.0,57.1,337.0,682.0,18.730424901821085,10.1,1479.0,표준,223.0,185.0,161.0,88.0,249.0,17,남
1661.0,56.0,325.0,659.0,20.297790331800005,10.1,1458.0,표준,224.0,183.0,160.0,83.0,237.0,17,남
1730.0,79.6,380.0,862.0,26.59627785759631,19.9,1747.0,표준,238.0,183.0,160.0,94.0,246.0,17,남
1740.0,66.7,353.0,783.0,22.03065134099617,20.2,1520.0,표준,246.0,191.0,167.0,84.0,230.0,17,남
1629.0,56.1,315.0,693.0,21.14076470781089,28.2,1241.0,표준,210.0,173.0,151.0,83.0,222.0,16,여
1644.0,47.2,312.0,605.0,17.463784846170693,23.6,1149.0,표준,225.0,185.0,160.0,90.0,251.0,16,여
1542.0,50.7,300.0,625.0,21.32255345778639,31.9,1116.0,표준이하,206.0,178.0,150.0,92.0,229.0,16,여
1644.0,44.2,296.0,575.0,16.35379852120222,19.4,1139.0,표준,225.0,178.0,147.0,90.0,242.0,16,여
1575.0,51.0,327.0,645.0,20.559334845049133,26.0,1185.0,표준,216.0,171.0,158.0,90.0,235.0,16,여
1564.0,45.2,302.0,627.0,18.478424395444822,26.6,1087.0,표준,204.0,171.0,152.0,92.0,233.0,16,여
1634.0,60.9,335.0,745.0,22.809364648705817,30.5,1285.0,표준,224.0,183.0,156.0,99.0,235.0,16,여
1660.0,59.8,324.0,707.0,21.701262882856724,30.8,1264.0,표준이하,225.0,176.0,166.0,88.0,234.0,17,여
1574.0,49.7,315.0,670.0,20.06073923622267,26.8,1156.0,표준,215.0,178.0,145.0,89.0,228.0,16,여
1613.0,49.4,315.0,660.0,18.98708148186868,23.9,1182.0,표준,225.0,175.0,155.0,90.0,225.0,16,여
1604.0,45.4,306.0,610.0,17.646034539586193,24.2,1114.0,표준,217.0,183.0,153.0,85.0,233.0,16,여
1594.0,46.1,304.0,637.0,18.143634614748848,24.0,1127.0,표준,226.0,174.0,151.0,86.0,225.0,15,여
1610.0,56.2,305.0,770.0,21.68126229697928,35.9,1148.0,표준이하,229.0,192.0,150.0,89.0,223.0,16,여
1634.0,80.8,355.0,845.0,30.26267099532726,43.0,1364.0,표준이하,218.0,175.0,148.0,95.0,230.0,16,여
1512.0,50.1,313.0,662.0,21.914630049550684,32.3,1103.0,표준이하,216.0,170.0,154.0,86.0,215.0,16,여
1541.0,43.3,303.0,656.0,18.23402806524329,24.2,1079.0,표준,211.0,173.0,150.0,88.0,219.0,16,여
1594.0,52.4,328.0,695.0,20.62313348834793,28.4,1181.0,표준,198.0,169.0,154.0,85.0,227.0,16,여
1681.0,64.1,347.0,730.0,22.68415481705636,30.9,1326.0,표준이하,228.0,180.0,159.0,98.0,236.0,16,여
1644.0,64.0,330.0,715.0,23.67970826599416,36.2,1253.0,표준이하,231.0,174.0,162.0,91.0,229.0,16,여
1585.0,48.7,300.0,675.0,19.385206340992546,24.2,1167.0,표준,222.0,168.0,157.0,83.0,224.0,16,여
1643.0,55.4,326.0,659.0,20.52270667087987,29.5,1214.0,표준,233.0,180.0,155.0,93.0,232.0,16,여
1633.0,49.7,310.0,635.0,18.637343912244738,19.7,1232.0,표준,220.0,185.0,164.0,87.0,231.0,16,여
